번호,질문
1,"반려동물이 있나요? 있다면, 이름은 무엇인가요? 없다면 키우고 싶은 반려동물은?"
2,처음으로 했던 일(돈을 벌었던) 무엇인가요?
3,가장 최근에 무언가를 처음으로 해 본 적은 언제인가요?
4,당신의 길티 플레져는 무엇인가요?
5,현재 데스크톱과 휴대폰 배경 화면은 무엇인가요? 그 이미지를 선택한 이유는 무엇인가요?
6,역사 속 인물 중 한 명과 저녁 식사를 할 수 있다면 누구를 선택할 것인가요?
7,스트레스를 극복하기 위해 무엇을 하나요?
8,당신에게 최고의 여행지는 어디였나요?
9,어벤져스 멤버와 저스티스 리그 멤버가 될 기회 중 하나를 선택한다면? 이유는?
10,동물이 될 수 있다면 어떤 동물이 될 건가요?
11,"평생 한 가지 영화만 볼 수 있다면, 어떤 영화를 선택할 건가요?"
12,"평생 한 가지 음식만 먹을 수 있다면, 어떤 음식을 선택할 건가요?"
13,가장 참을 수 없이 짜증 나는 것은 무엇인가요?
14,아침 루틴이 어떻게 되나요? 평일에는? 주말에는?
15,"좋아하는 동네 음식점은 어디이며, 이유는 무엇인가요?"
16,지금까지 만난 사람 중 가장 유명한 사람은 누구인가요? 어떻게 만났는지 말해주세요.
17,어렸을 때 장래 희망이 무엇이었나요?
18,"하루에 1시간이 더 주어진다면, 무엇을 할 건가요?"
19,오늘 아침 일어나서 처음으로 생각한 것은 무엇인가요?
20,지금 당신이 살고 있는 지역/동네에서 가장 좋아하는 것은 무엇인가요?
